n_blocks,insert_bps,erase_bps
622,9.19672e+06,3.80333e+07
622,9.19672e+06,5.404e+07
622,9.19672e+06,2.16667e+07
624,3.49024e+07,2.16667e+07
624,3.49024e+07,5.65385e+06
626,5.01351e+07,5.65385e+06
626,5.01351e+07,4.29412e+07
626,5.01351e+07,1.81667e+07
628,8.34177e+06,1.81667e+07
630,1.1907e+07,1.81667e+07
630,1.1907e+07,2.13846e+06
630,1.1907e+07,3.81034e+07
632,4.13514e+06,3.81034e+07
634,4.15667e+08,3.81034e+07
634,4.15667e+08,2.73673e+07
634,4.15667e+08,2.07903e+07
636,1.0339e+06,2.07903e+07
636,1.0339e+06,8e+06
636,1.0339e+06,5.17949e+06
638,1.69111e+07,5.17949e+06
638,1.69111e+07,4.44231e+06
640,4.035e+07,4.44231e+06
640,4.035e+07,4.54107e+07
642,2.86167e+08,4.54107e+07
642,2.86167e+08,3.29508e+07
644,3.12e+07,3.29508e+07
644,3.12e+07,3.635e+08
644,3.12e+07,2.72258e+07
644,3.12e+07,3.2e+06
646,3.67164e+06,3.2e+06
646,3.67164e+06,6.5e+06
648,5.98519e+07,6.5e+06
648,5.98519e+07,7.38202e+06
648,5.98519e+07,854701
650,4.94e+08,854701
650,4.94e+08,1.04842e+07
652,656566,1.04842e+07
654,1.12727e+06,1.04842e+07
656,1.12637e+07,1.04842e+07
656,1.12637e+07,9.89048e+07
656,1.12637e+07,2.88462e+06
658,2.33778e+07,2.88462e+06
658,2.33778e+07,7.89655e+06
660,6.76829e+06,7.89655e+06
660,6.76829e+06,1.35763e+07
662,1.47167e+08,1.35763e+07
662,1.47167e+08,1.37e+07
662,1.47167e+08,2.84444e+07
664,1.71047e+07,2.84444e+07
666,3.47419e+07,2.84444e+07
666,3.47419e+07,5.74815e+07
666,3.47419e+07,4.69841e+06
668,8.80667e+07,4.69841e+06
668,8.80667e+07,2.14615e+07
668,8.80667e+07,1.03077e+07
668,8.80667e+07,7.91429e+06
670,3.51702e+07,7.91429e+06
670,3.51702e+07,6.16471e+07
670,3.51702e+07,1.00455e+07
672,1.52542e+06,1.00455e+07
674,1.25545e+08,1.00455e+07
674,1.25545e+08,3.57465e+07
676,5.1186e+07,3.57465e+07
675,5.1186e+07,9.34247e+06
677,1.45699e+07,9.34247e+06
675,1.45699e+07,5.81951e+07
675,1.45699e+07,7.69231e+06
675,1.45699e+07,2.92683e+06
677,3.03544e+07,2.92683e+06
673,3.03544e+07,1.50348e+07
673,3.03544e+07,2.2e+07
673,3.03544e+07,1.74138e+06
675,2.35259e+07,1.74138e+06
675,2.35259e+07,3.171e+08
677,1.2015e+08,3.171e+08
677,1.2015e+08,4e+07
677,1.2015e+08,8.88889e+06
679,1.28095e+07,8.88889e+06
678,1.28095e+07,3.49388e+07
680,2.33175e+07,3.49388e+07
680,2.33175e+07,4.48e+06
682,2.55349e+07,4.48e+06
682,2.55349e+07,5.12e+08
684,3.41795e+07,5.12e+08
684,3.41795e+07,2.2339e+07
686,1.88333e+07,2.2339e+07
686,1.88333e+07,5.65957e+06
688,3.30455e+07,5.65957e+06
688,3.30455e+07,8.25833e+07
690,2.84235e+07,8.25833e+07
690,2.84235e+07,2.70588e+06
692,7.75e+06,2.70588e+06
692,7.75e+06,8.02778e+06
692,7.75e+06,2.54872e+07
694,3.94444e+07,2.54872e+07
693,3.94444e+07,2.36471e+07
695,1.6e+06,2.36471e+07
695,1.6e+06,602564
697,2.94444e+07,602564
697,2.94444e+07,5.52174e+06
699,6.05051e+06,5.52174e+06
701,1.28448e+07,5.52174e+06
701,1.28448e+07,5.37931e+06
703,2.475e+07,5.37931e+06
703,2.475e+07,1.30889e+08
703,2.475e+07,2.44118e+07
705,7.32353e+07,2.44118e+07
707,1.88101e+07,2.44118e+07
706,1.88101e+07,2.47442e+07
706,1.88101e+07,2.83095e+07
708,6.64462e+07,2.83095e+07
707,6.64462e+07,1.47407e+07
709,9.86667e+06,1.47407e+07
709,9.86667e+06,2.06905e+07
711,9.96e+06,2.06905e+07
713,2.3e+07,2.06905e+07
715,1.18776e+07,2.06905e+07
713,1.18776e+07,5.82394e+07
716,8.10517e+07,5.82394e+07
716,8.10517e+07,3.97292e+07
718,2.16744e+07,3.97292e+07
718,2.16744e+07,6.48889e+07
718,2.16744e+07,1.55333e+07
718,2.16744e+07,3.65667e+08
720,6.12857e+06,3.65667e+08
722,4.57333e+07,3.65667e+08
722,4.57333e+07,475410
722,4.57333e+07,5.93333e+07
724,2.00526e+07,5.93333e+07
726,2.04545e+06,5.93333e+07
724,2.04545e+06,3.55e+07
